Pos,"Player Name",Team,B,"Pitcher Matchup T","Pitcher Matchup Opp","Pitcher Matchup Opp Pitcher","Lineup Slot","DraftKings Salary","Today FP","Today Value","Last 5 Games FP/G","Last 5 Games Value","Season FP/G","Season Value"
C,"Castillo, Welington",CHC,R,R,@COL,"Kendrick, K.",Bench,"$4,000",2.2,0.6,2.0,0.5,2.0,0.5
2B/SS,"Guerrero, Alex",LAD,R,R,@ARI,"Bradley, A.",Bench,"$3,200",2.2,0.7,0.0,0.0,0.0,0.0
C,"Rosario, Wilin",COL,R,R,CHC,"Hammel, J.",Bench,"$4,400",2.2,0.5,4.7,1.1,4.7,1.1
C,"Ross, David",CHC,R,R,@COL,"Kendrick, K.",Bench,"$3,600",2.2,0.6,5.0,1.4,5.0,1.4
OF,"Young, Delmon",BAL,R,R,TOR,"Sanchez, A.",Bench,"$3,800",2.2,0.6,2.5,0.7,2.5,0.7
1B/3B,"Rosales, Adam",TEX,R,R,HOU,"Hernandez, R.",Bench,"$3,100",2.2,0.7,0.0,0.0,0.0,0.0
2B/3B,"Valencia, Danny",TOR,R,R,@BAL,"Jimenez, U.",Bench,"$3,200",2.2,0.7,4.0,1.3,4.0,1.3
OF,"Grossman, Robbie",HOU,B,R,@TEX,"Gallardo, Y.",Bench,"$3,500",2.2,0.6,4.0,1.1,4.0,1.1
1B,"Robinson, Clint",WAS,L,L,@PHI,"Hamels, C.",Bench,"$3,400",2.2,0.6,0.0,0.0,0.0,0.0
2B,"DeShields Jr., Delino",TEX,R,R,HOU,"Hernandez, R.",Bench,"$3,800",2.2,0.6,2.5,0.7,2.5,0.7
SS,"Mercer, Jordy",PIT,R,R,@MIL,"Nelson, J.",Bench,"$3,700",2.2,0.6,4.3,1.1,4.3,1.1
OF,"Parra, Gerardo",MIL,L,R,PIT,"Worley, V.",Bench,"$3,600",2.1,0.6,3.0,0.8,3.0,0.8
C,"Corporan, Carlos",TEX,B,R,HOU,"Hernandez, R.",Bench,"$3,600",2.1,0.6,4.5,1.3,4.5,1.3
1B/OF,"Mayberry, John",NYM,R,R,@ATL,"Teheran, J.",Bench,"$2,700",2.1,0.8,5.3,2.0,5.3,2.0
2B,"Gennett, Scooter",MIL,L,R,PIT,"Worley, V.",Bench,"$4,300",2.1,0.5,1.3,0.3,1.3,0.3
OF,"Maybin, Cameron",ATL,R,R,NYM,"Gee, D.",Bench,"$2,900",2.1,0.7,6.5,2.2,6.5,2.2
3B,"Asche, Cody",PHI,L,R,WAS,"Fister, D.",Bench,"$3,700",2.1,0.6,4.3,1.2,4.3,1.2
2B/3B,"Tolleson, Steve",TOR,R,R,@BAL,"Jimenez, U.",Bench,"$2,500",2.1,0.8,1.0,0.4,1.0,0.4
2B,"Uggla, Dan",WAS,R,L,@PHI,"Hamels, C.",Bench,"$2,900",2.1,0.7,2.0,0.7,2.0,0.7
2B/3B,"Flaherty, Ryan",BAL,L,R,TOR,"Sanchez, A.",Bench,"$3,400",2.1,0.6,5.3,1.6,5.3,1.6
